1.11x,"rgb(52, 180, 255)",2024-07-25 14:38:09
1.28x,"rgb(52, 180, 255)",2024-07-25 14:38:09
1.19x,"rgb(52, 180, 255)",2024-07-25 14:38:09
1.33x,"rgb(52, 180, 255)",2024-07-25 14:38:10
4.96x,"rgb(145, 62, 248)",2024-07-25 14:38:10
1.50x,"rgb(52, 180, 255)",2024-07-25 14:38:10
5.42x,"rgb(145, 62, 248)",2024-07-25 14:38:10
7.86x,"rgb(145, 62, 248)",2024-07-25 14:38:10
2.46x,"rgb(145, 62, 248)",2024-07-25 14:38:10
5.47x,"rgb(145, 62, 248)",2024-07-25 14:38:10
1.14x,"rgb(52, 180, 255)",2024-07-25 14:38:11
43.35x,"rgb(192, 23, 180)",2024-07-25 14:38:11
5.47x,"rgb(145, 62, 248)",2024-07-25 14:38:11
1.60x,"rgb(52, 180, 255)",2024-07-25 14:38:11
7.60x,"rgb(145, 62, 248)",2024-07-25 14:39:18
1.76x,"rgb(52, 180, 255)",2024-07-25 14:39:18
1.29x,"rgb(52, 180, 255)",2024-07-25 14:39:18
4.91x,"rgb(145, 62, 248)",2024-07-25 14:40:23
1.51x,"rgb(52, 180, 255)",2024-07-25 14:40:23
1.87x,"rgb(52, 180, 255)",2024-07-25 14:40:23
6.86x,"rgb(145, 62, 248)",2024-07-25 14:40:58
1.73x,"rgb(52, 180, 255)",2024-07-25 14:40:59
5.09x,"rgb(145, 62, 248)",2024-07-25 14:42:34
2.38x,"rgb(145, 62, 248)",2024-07-25 14:42:35
1.38x,"rgb(52, 180, 255)",2024-07-25 14:42:35
1.02x,"rgb(52, 180, 255)",2024-07-25 14:43:36
1.00x,"rgb(52, 180, 255)",2024-07-25 14:43:36
1.00x,"rgb(52, 180, 255)",2024-07-25 14:43:37
1.02x,"rgb(52, 180, 255)",2024-07-25 14:43:37
2.00x,"rgb(145, 62, 248)",2024-07-25 14:43:37
2.08x,"rgb(145, 62, 248)",2024-07-25 14:43:37
3.70x,"rgb(145, 62, 248)",2024-07-25 14:44:38
2.73x,"rgb(145, 62, 248)",2024-07-25 14:45:09
1.45x,"rgb(52, 180, 255)",2024-07-25 14:45:09
1.42x,"rgb(52, 180, 255)",2024-07-25 14:46:10
5.03x,"rgb(145, 62, 248)",2024-07-25 14:46:10
1.20x,"rgb(52, 180, 255)",2024-07-25 14:47:42
1.30x,"rgb(52, 180, 255)",2024-07-25 14:47:42
1.10x,"rgb(52, 180, 255)",2024-07-25 14:47:42
9.99x,"rgb(145, 62, 248)",2024-07-25 14:49:14
2.63x,"rgb(145, 62, 248)",2024-07-25 14:49:14
1.44x,"rgb(52, 180, 255)",2024-07-25 14:49:14
1.60x,"rgb(52, 180, 255)",2024-07-25 14:50:44
1.53x,"rgb(52, 180, 255)",2024-07-25 14:50:45
2.67x,"rgb(145, 62, 248)",2024-07-25 14:50:45
1.04x,"rgb(52, 180, 255)",2024-07-25 14:50:45
1.66x,"rgb(52, 180, 255)",2024-07-25 14:50:45
2.46x,"rgb(145, 62, 248)",2024-07-25 14:51:48
5.47x,"rgb(145, 62, 248)",2024-07-25 14:51:48
1.14x,"rgb(52, 180, 255)",2024-07-25 14:51:48
43.35x,"rgb(192, 23, 180)",2024-07-25 14:51:48
14.98x,"rgb(192, 23, 180)",2024-07-25 14:51:48
1.19x,"rgb(52, 180, 255)",2024-07-25 14:52:19
1.33x,"rgb(52, 180, 255)",2024-07-25 14:52:19
4.96x,"rgb(145, 62, 248)",2024-07-25 14:52:19
1.50x,"rgb(52, 180, 255)",2024-07-25 14:52:19
